Category: All categories

Week,cough: (United States)
2020-01-05,58
2020-01-12,53
2020-01-19,54
2020-01-26,57
2020-02-02,58
2020-02-09,56
2020-02-16,54
2020-02-23,54
2020-03-01,60
2020-03-08,82
2020-03-15,100
2020-03-22,89
2020-03-29,71
2020-04-05,55
2020-04-12,38
2020-04-19,34
2020-04-26,29
2020-05-03,25
2020-05-10,23
2020-05-17,21
2020-05-24,19
2020-05-31,16
2020-06-07,17
2020-06-14,20
2020-06-21,23
2020-06-28,26
2020-07-05,26
2020-07-12,27
2020-07-19,26
2020-07-26,25
2020-08-02,24
2020-08-09,23
2020-08-16,22
2020-08-23,20
2020-08-30,21
2020-09-06,21
2020-09-13,22
2020-09-20,25
2020-09-27,25
2020-10-04,29
2020-10-11,28
2020-10-18,29
2020-10-25,30
2020-11-01,26
2020-11-08,32
2020-11-15,34
2020-11-22,33
2020-11-29,33
2020-12-06,32
2020-12-13,32
2020-12-20,32
2020-12-27,34
2021-01-03,31
2021-01-10,29
2021-01-17,28
2021-01-24,28
2021-01-31,26
2021-02-07,25
2021-02-14,23
2021-02-21,23
2021-02-28,22
2021-03-07,24
2021-03-14,25
2021-03-21,26
2021-03-28,29
2021-04-04,30
2021-04-11,30
2021-04-18,31
2021-04-25,31
2021-05-02,32
2021-05-09,32
2021-05-16,35
2021-05-23,34
2021-05-30,33
2021-06-06,32
2021-06-13,34
2021-06-20,35
2021-06-27,35
2021-07-04,36
2021-07-11,40
2021-07-18,41
2021-07-25,43
2021-08-01,44
2021-08-08,45
2021-08-15,47
2021-08-22,47
2021-08-29,48
2021-09-05,49
2021-09-12,48
2021-09-19,47
2021-09-26,49
2021-10-03,48
2021-10-10,48
2021-10-17,49
2021-10-24,49
2021-10-31,50
2021-11-07,56
2021-11-14,57
2021-11-21,55
2021-11-28,57
2021-12-05,56
2021-12-12,60
2021-12-19,72
2021-12-26,88
2022-01-02,88
2022-01-09,76
2022-01-16,62
2022-01-23,52
2022-01-30,42
2022-02-06,40
2022-02-13,37
2022-02-20,38
2022-02-27,36
2022-03-06,39
2022-03-13,41
2022-03-20,42
2022-03-27,43
2022-04-03,43
2022-04-10,46
2022-04-17,47
2022-04-24,39
