Category: All categories

Week,body aches: (United States)
2020-01-05,32
2020-01-12,30
2020-01-19,32
2020-01-26,37
2020-02-02,32
2020-02-09,32
2020-02-16,33
2020-02-23,32
2020-03-01,36
2020-03-08,44
2020-03-15,57
2020-03-22,56
2020-03-29,46
2020-04-05,39
2020-04-12,34
2020-04-19,29
2020-04-26,24
2020-05-03,22
2020-05-10,22
2020-05-17,22
2020-05-24,21
2020-05-31,20
2020-06-07,22
2020-06-14,24
2020-06-21,31
2020-06-28,31
2020-07-05,33
2020-07-12,28
2020-07-19,28
2020-07-26,28
2020-08-02,28
2020-08-09,25
2020-08-16,21
2020-08-23,20
2020-08-30,21
2020-09-06,22
2020-09-13,23
2020-09-20,25
2020-09-27,24
2020-10-04,26
2020-10-11,27
2020-10-18,27
2020-10-25,27
2020-11-01,27
2020-11-08,32
2020-11-15,33
2020-11-22,33
2020-11-29,33
2020-12-06,35
2020-12-13,33
2020-12-20,34
2020-12-27,43
2021-01-03,38
2021-01-10,33
2021-01-17,33
2021-01-24,31
2021-01-31,31
2021-02-07,27
2021-02-14,27
2021-02-21,26
2021-02-28,27
2021-03-07,27
2021-03-14,26
2021-03-21,30
2021-03-28,30
2021-04-04,35
2021-04-11,33
2021-04-18,31
2021-04-25,30
2021-05-02,30
2021-05-09,28
2021-05-16,26
2021-05-23,25
2021-05-30,26
2021-06-06,25
2021-06-13,23
2021-06-20,22
2021-06-27,24
2021-07-04,26
2021-07-11,27
2021-07-18,31
2021-07-25,34
2021-08-01,37
2021-08-08,35
2021-08-15,36
2021-08-22,36
2021-08-29,38
2021-09-05,38
2021-09-12,33
2021-09-19,33
2021-09-26,32
2021-10-03,31
2021-10-10,32
2021-10-17,28
2021-10-24,29
2021-10-31,29
2021-11-07,32
2021-11-14,35
2021-11-21,31
2021-11-28,36
2021-12-05,36
2021-12-12,45
2021-12-19,72
2021-12-26,100
2022-01-02,96
2022-01-09,83
2022-01-16,67
2022-01-23,48
2022-01-30,35
2022-02-06,32
2022-02-13,28
2022-02-20,27
2022-02-27,25
2022-03-06,27
2022-03-13,28
2022-03-20,26
2022-03-27,28
2022-04-03,29
2022-04-10,31
2022-04-17,33
2022-04-24,37
